author,year,title,document,pages
RENE P., 08-2020, La dix-neuvième sortie glaciologique (Cotiella), Bulletin de l’Association Moraine n°59, 4p.
RENE P., 07-2019, La dix-huitième sortie glaciologique (Vallibierna), Bulletin de l’Association Moraine n°58, 4p.
RENE P., 09-2018, La dix-septième sortie glaciologique (Néouvielle), Bulletin de l’Association Moraine n°57, 3p.
RENE P., 05-2018, La dix-septième sortie glaciologique (Néouvielle), Bulletin de l’Association Moraine n°56, 4p.
RENE P., 05-2017, La seizième sortie glaciologique (vallée d’Oô), Bulletin de l’Association Moraine n°55, 4p.
RENE P., 09-2016, Récit illustré de la quinzième sortie glaciologique (Oulettes de Gaube), Bulletin de l’Association Moraine n°54, 4p.
RENE P., 06-2016, La quinzième sortie glaciologique (Oulettes de Gaube), Bulletin de l’Association Moraine n°53, 4p.
"RENE E., RENE P.", 06-2015, La quatorzième sortie glaciologique (Lac Tourrat), Bulletin de l’Association Moraine n°52, 4p.
"RENE E., RENE P.", 06-2014, Bonus : la treizième sortie glacio (Aneto), Bulletin de l’Association Moraine n°51, 4p.
"RENE E., RENE P.", 12-2013, INDEX des bulletins n°1 à 49, Bulletin de l’Association Moraine n°50, 4p.
"RENE E., RENE P.", 09-2013, Bilan du cycle glaciaire 2012-13 – Photos thématiques : la glace – Comment s’improviser glaciologue ? – Le mois des conférences d’altitude – La XIIème sortie glaciologique (compte rendu), Bulletin de l’Association Moraine n°49, 4p.
"RENE E., RENE P.", 06-2013, Mesures d’accumulation à Ossoue – Mesures d’accumulation à la Maladeta – LE livre sur les glaciers pyrénéens – Séminaire de l’OPCC – La XIIème sortie glaciologique (présentation), Bulletin de l’Association Moraine n°48, 4p.
"RENE E., RENE P.", 03-2013, Aléas glaciaires et citations anciennes – Variations d’épaisseur de 2 glaciers – Bilan et ses paramètres le long du glacier d’Ossoue – Photos thématiques : les crevasses – Planning glaciologique prévisionnel 2013, Bulletin de l’Association Moraine n°47, 4p.
"RENE E., RENE P.", 12-2012, 2012 : record de fonte des glaciers – Expédition topographique au glacier d’Ossoue – Glacier du Valier : synthèse bibliographique – Un article dans la revue Pyrénées – Succès des conférences toulousaine, Bulletin de l’Association Moraine n°46, 4p.
"RENE E., RENE P.", 09-2012, Des zones glaciaires pas toujours fréquentables – Découverte d’une porte aux grottes Cerbillona – Des glaciers évaporés ! – Un article dans Sud-Ouest Européen – La XIème sortie glaciologique (compte rendu), Bulletin de l’Association Moraine n°45, 4p.
"RENE E., RENE P.", 06-2012, Mesures de l’accumulation à Ossoue – Mesures de l’accumulation à la Maladeta – Dunes de neige et « Fort Russell » au Vignemale – Exposition photos commentées – La XIème sortie glaciologique (présentation), Bulletin de l’Association Moraine n°44, 4p.
"RENE E., RENE P.", 03-2012, Trois années de campagnes photos (Oulettes) – Stage Master 2 sur le glacier d’Ossoue – Record battu à la Villa Russell – Conférences de sensibilisation à prix réduit – Planning prévisionnel de mesures (2012), Bulletin de l’Association Moraine n°43, 4p.
"RENE E., RENE P.", 12-2011, Dixième année de mesures à Ossoue – Exposition Trutat au Muséum de Toulouse – Expédition inédite au glacier du Mont Valier – Journées scientifiques du PNP – Rapport d’étude 2011, Bulletin de l’Association Moraine n°42, 4p.
"RENE E., RENE P.", 09-2011, Encore un record photographique (Aneto) – Le Service d’Observations GLACIOCLIM – Un nouveau levé topo au glacier d’Ossoue – Conférence au sommet (refuge du Portillon) – La Xème sortie glaciologique (compte rendu), Bulletin de l’Association Moraine n°41, 4p.
"RENE E., RENE P.", 06-2011, Mesure d’accumulation au glacier d’Ossoue – Les lithographies de E. Viollet-le-Duc – Des cartes glaciologiques remarquables – Conférence à la Cité de l’Espace – La Xème sortie glaciologique (présentation), Bulletin de l’Association Moraine n°40, 4p.
"RENE E., RENE P.", 03-2011, L’Egypte dans le Luchonnais (31) – Carte d’épaisseur du glacier de la Maladeta – Détail du rapport d’étude 2010 – Un article dans Pyrénées Magazine – Planning prévisionnel de mesures (2011), Bulletin de l’Association Moraine n°39, 4p.
"RENE E., RENE P.", 12-2010, Récupération des appareils photos (Oulettes) – Une cavité sous le glacier au Taillon – Le Vignemale, une pyramide tronquée – Séminaire glaciologique espagnol – Le rapport d’étude 2010, Bulletin de l’Association Moraine n°38, 4p.
"RENE E., RENE P.", 09-2009, Implantation d’une balise au glacier d’Ossoue – Les glaciers du massif des Posets – Variations des surfaces glaciaires depuis 1850 – La IXème sortie glaciologique (compte rendu) – Une sortie scolaire aux Oulettes, Bulletin de l’Association Moraine n°37, 4p.
"RENE E., RENE P.", 06-2010, Mesure d’accumulation au glacier d’Ossoue – Mesure d’accumulation au glacier de la Maladeta – Mise en place des appareils photos automatiques – Un photographe professionnel pour les glaciers – Le site Internet relooké par Pierre G. – La IXème sortie glaciologique (présentation), Bulletin de l’Association Moraine n°36, 4p.
"RENE E., RENE P.", 03-2010, La base de données mondiale des glaciers – Variations de longueurs glaciaires depuis 2001– Variations de longueurs glaciaires depuis 1850 – Participation à des séminaires climatiques – Planning de mesures glaciologiques 2010, Bulletin de l’Association Moraine n°35, 4p.
"RENE E., RENE P.", 12-2009, Le glacier de Boum en 2009 – Les glaciers rocheux vues du ciel – Des appareils photos automatiques aux Oulettes – Visite 2009 des moulins du glacier d’Ossoue – Le rapport d’étude 2009, Bulletin de l’Association Moraine n°34, 4p.
"RENE E., RENE P.", 09-2009, Des chutes de séracs aux Oulettes – Sortie glaciologique (école de Cauterets) – Le glacier d’Aneto se découpe – Les vallées glaciaires suspendues – Un reportage audiovisuel (glacier d’Ossoue) – La VIIIème sortie glaciologique (compte rendu), Bulletin de l’Association Moraine n°33, 4p.
"RENE E., RENE P.", 06-2009, Mesures d’accumulation au glacier d’Ossoue – Les moraines moulurées – Les glaciers pyrénéens vus du ciel – Un projet pédagogique exceptionnel – La VIIIème sortie glaciologique (présentation), Bulletin de l’Association Moraine n°32, 4p.
"RENE E., RENE P.", 03-2009, Confluence, diffluence et transfluence glaciaires – Le réajustement isostatique – 17 et 7 ans de bilan de masse – Le colloque annuel de glaciologie – Le planning 2009 de mesures, Bulletin de l’Association Moraine n°31, 4p.
"MERVOYER E., RENE P.", 12-2008, Certains petits glaciers résistent mieux – Evolution post-glaciaire du paysage – Un livre glaciologique remarquable – Actualisation des cartes TOP 25 – Le rapport d’étude 2008, Bulletin de l’Association Moraine n°30, 4p.
"MERVOYER E., RENE P.", 09-2008, Formation de la brèche de Roland – Radar et forages à la Maladeta – Remontées glaciaires depuis 1850 – Tournages aux Oulettes – La VIIème sortie glaciologique (compte rendu), Bulletin de l’Association Moraine n°29, 4p.
"MERVOYER E., RENE P.", 06-2008, Mesures d’accumulation au glacier d’Ossoue – Les tunnels du glacier des Oulettes – Nouvel inventaire des glaciers pyrénéens – La vallée glaciaire parfaite – La sortie glaciologique (présentation), Bulletin de l’Association Moraine n°28, 4p.
"MERVOYER E., RENE P.", 03-2008, Pénitents au glacier d’Ossoue – Visite des moulins glaciaires en 2007 – Transformation du paysage par les glaciers – Implantation de balises (glacier de la Maladeta) – Planning glaciologique 2008, Bulletin de l’Association Moraine n°27, 4p.
"MERVOYER E., RENE P.", 12-2007, Disparition de la dernière cascade de séracs – Écroulement au glacier des Oulettes – Évolution photographique du glacier d’Ossoue – 150 ans après, le glacier de la Maladeta – Le rapport d’étude 2007, Bulletin de l’Association Moraine n°26, 4p.
"MERVOYER E., RENE P.", 09-2007, Implantation des balises (glacier d’Ossoue) – Le glacier de la Munia en 2007 – Variations frontales du glacier d’Ossoue – La sortie glaciologique annuelle (compte rendu) – Une exposition glaciaire, Bulletin de l’Association Moraine n°25, 4p.
"MERVOYER E., RENE P.", 06-2007, Mesure d’accumulation au glacier d’Ossoue – Grandes glaciations, les plus grands glaciers – Les vitesses du glacier d’Ossoue – Une randonnée festive – La sortie glaciologique annuelle (présentation), Bulletin de l’Association Moraine n°24, 4p.
"MERVOYER E., RENE P.", 03-2007, Le levé topographique 2005 (glacier d’Ossoue) – Le radar (outil de mesures) – Mission radar au glacier d’Ossoue (résultats) – Les glaciers de la vallée d’Oô (31) – Rapport d’étude 2006 – Bulletin de l’Association Moraine n°23, 4p.
