author,year,title,pages
RENE P., 2000, Une méthode de valorisation d'un patrimoine naturel oublié : le cas des glaciers des Pyrénées françaises, Rapport de stage, Université Toulouse Le Mirail - Parc National des Pyrénées, 164p.
Association Moraine, 2001, Les glaciers des Pyrénées françaises - Implantation de spits, Rapport d'étude, 20p.
Association Moraine, 2002, Les glaciers des Pyrénées françaises - Rapport d'étude 2001-02, 26p.
Association Moraine, 2003, Les glaciers des Pyrénées françaises - Rapport d'étude 2002-03, 25p.
Association Moraine, 2003, Reconstitution des variations frontales de trois glaciers pyrénéens depuis la fin du Petit Age Glaciaire (1850), Programme ECLIPSE, Rapport d’étude, 31p.
Association Moraine, 2004, Les glaciers des Pyrénées françaises - Rapport d'étude 2003-04, 26p.
Association Moraine, 2005, Les glaciers des Pyrénées françaises - Rapport d'étude 2004-05, 27p.
Association Moraine, 2006, Les glaciers des Pyrénées françaises - Rapport d'étude 2005-06, 28p.
Association Moraine, 2007, Prospection radar au glacier d’Ossoue (Vignemale - Pyrénées) – Détermination de l’épaisseur du glacier et de la topographie du lit rocheux, Rapport d’étude, 24p.
Association Moraine, 2007, Les glaciers des Pyrénées françaises - Rapport d'étude 2006-07, 31p.
Association Moraine, 2008, Les glaciers des Pyrénées françaises - Rapport d'étude 2007-08, 26p.
Association Moraine, 2009, Les glaciers des Pyrénées françaises - Rapport d'étude 2008-09, 27p.
Association Moraine, 2010, Le glacier des Oulétes de Gaube (Vignemale) - Surveillance à partir d’appareils photos automatiques (2009), 9p.
Association Moraine, 2010, Les glaciers des Pyrénées françaises - Rapport d'étude 2009-10, 27p.
Association Moraine, 2011, Evolution des glaciers pyrénéens depuis la fin du XVIIIème, Laboratoire GEODE, Projet FluxPyr, 24p.
Association Moraine, 2011, Les glaciers des Pyrénées françaises - Rapport d'étude 2010-11, 27p.
Association Moraine, 2012, Les glaciers des Pyrénées françaises - Rapport d'étude 2011-12, 27p.
Association Moraine, 2012, Le glacier du Mont Valier, une curiosité ariégeoise, 16p.
Association Moraine, 2013, Les glaciers des Pyrénées françaises – Cycle glaciaire 2012-13, 26p.
Association Moraine, 2014, Les glaciers des Pyrénées françaises – Cycle glaciaire 2013-14, 26p.
Association Moraine, 2015, Les glaciers des Pyrénées françaises – Cycle glaciaire 2014-15, 26p.
